brand,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
Audi,A1,2017,12500,Manual,15735,Petrol,150,55.4,1.4
Audi,A6,2016,16500,Automatic,36203,Diesel,20,64.2,2.0
Audi,A1,2016,11000,Manual,29946,Petrol,30,55.4,1.4
Audi,A4,2017,16800,Automatic,25952,Diesel,145,67.3,2.0
Audi,A3,2016,17300,Manual,23254,Petrol,145,49.6,1.4
Audi,A1,2016,13900,Manual,32260,Petrol,30,58.9,1.0
Audi,A4,2016,13250,Automatic,76788,Diesel,30,70.6,2.0
Audi,A3,2019,17000,Manual,12456,Petrol,145,49.6,1.0
Audi,A3,2019,16100,Manual,15650,Petrol,145,49.6,1.0
Audi,A1,2019,15000,Manual,9560,Petrol,145,47.9,1.0
Audi,A1,2017,16470,Semi-Auto,34727,Diesel,145,59.8,1.4
Audi,Q3,2017,20020,Automatic,35436,Petrol,145,44.0,2.0
Audi,Q5,2019,27270,Semi-Auto,13325,Diesel,145,59.0,1.4
Audi,A1,2017,21640,Semi-Auto,32609,Petrol,145,46.4,1.5
Audi,A1,2015,12950,Semi-Auto,46973,Petrol,30,53.8,2.0
Audi,A5,2019,25240,Manual,14241,Petrol,145,50.5,2.0
Audi,Q3,2018,21070,Manual,20341,Petrol,145,43.9,2.0
Audi,A6,2017,19690,Automatic,28758,Petrol,145,47.6,2.0
Audi,Q5,2016,15080,Automatic,32083,Diesel,30,66.8,2.0
Audi,A3,2019,23340,Manual,17040,Petrol,145,47.3,2.0
Audi,A6,2015,14340,Automatic,47668,Diesel,30,59.0,2.0
Audi,A5,2016,15010,Semi-Auto,31140,Diesel,145,59.4,3.0
Audi,A3,2018,21110,Automatic,16965,Diesel,145,49.9,1.5
Audi,Q3,2017,17890,Automatic,27332,Petrol,145,50.2,2.0
Audi,A1,2014,13230,Automatic,57086,Diesel,20,72.2,2.0
Audi,A6,2015,12460,Automatic,42503,Petrol,0,39.7,2.0
Audi,A5,2014,12050,Automatic,67082,Petrol,125,51.9,1.5
Audi,Q3,2017,22710,Semi-Auto,27233,Hybrid,135,70.9,2.0
Audi,A4,2018,23170,Semi-Auto,21804,Petrol,145,41.7,1.4
Audi,A1,2017,16780,Semi-Auto,42306,Petrol,145,52.7,2.0
Audi,Q5,2020,28850,Semi-Auto,7553,Hybrid,135,73.2,2.0
Audi,A3,2020,29250,Semi-Auto,4447,Diesel,145,69.7,1.4
Audi,Q3,2016,18410,Semi-Auto,32365,Diesel,20,59.3,2.0
Audi,Q3,2019,23660,Automatic,21329,Petrol,145,48.9,1.4
Audi,A3,2015,13690,Semi-Auto,51141,Diesel,125,55.9,2.0
Audi,A3,2018,22640,Automatic,14804,Diesel,145,59.7,2.0
